#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-01T20:37:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-01T20:37:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=DEICRS&-out=Plx&-out=B-V&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP|Vmag|DEICRS|Plx|B-V
    43| 6.18|+59.55973786|   7.63| 1.032
    44| 7.91|-03.30636174|   2.41| 1.104
    45| 9.59|-72.20271031|  15.10|
    46| 8.57|-25.62225277|   1.19| 1.035
    47|10.78|-56.83524773|  24.45| 1.150
    48| 7.31|-40.69044664|   1.86| 1.164
    49| 9.53|+16.66903183|   1.59| 0.450
    50| 6.49|-53.09766277|  16.89| 0.616
    51| 8.94|+01.06619726|   0.41| 0.906
    52| 8.56|-77.02014050|   3.95| 0.196
    53|10.96|-29.26338247|  -1.76|
    54|10.57|+17.96895579|  20.97| 1.030
    55| 7.40|-66.68310336|  14.66| 0.551
    56| 8.12|+00.22293899|   3.47| 1.329
    57| 8.27|-69.67580068|  33.89| 0.863
    58| 7.05|+62.17600484|  26.06| 0.520
    59| 9.09|+55.72246267|  -0.06| 0.091
    60| 8.34|-64.46582516|   6.18| 0.386
    61| 8.86|+53.82218625|   5.60| 1.081
    62| 8.27|-45.42272731|   5.28| 0.994
    63| 6.36|+45.25333305|   4.81|-0.047
    64| 8.08|-27.90754614|   3.45| 1.156
    65|11.00|-54.83034057|  16.98| 1.147
    66| 8.55|-72.31824913|   8.18| 0.401
    67| 7.83|+23.53824873|   7.48| 0.495
    68| 8.79|+16.98896499|  31.80| 0.940
    69| 8.33|+30.39589283|   6.35| 0.135
    70|10.42|+36.77763945|   5.25| 0.706
    71| 8.26|+36.78015328|   9.13| 0.846
    72| 8.97|-12.82867015|  10.63| 0.671
    73| 6.90|+66.84796687|   3.97| 1.446
    74| 9.93|+35.75272213|  24.22| 1.068
    75| 7.42|-50.44646500|   1.60| 1.524
    76| 9.03|+32.82567452|   2.29| 1.670
    77| 8.41|-30.06417333|   3.53| 0.022
    78| 8.06|+17.86784193|   1.17| 1.203
    79| 8.69|+35.31675386|   4.57| 0.529
    80| 8.40|-11.82353722|  15.59| 0.566
    81| 8.57|-04.93211471|  23.43| 0.642
    82| 9.50|-10.93580540|   1.82| 1.107
    83| 8.85|+52.08056444|   2.28| 1.726
    84| 9.61|+27.88634368|  18.90| 0.852
    85|10.62|-24.71404902|   3.90| 0.359
    86| 8.05|+69.60349830|   3.47| 0.018
    87| 7.80|-05.83497569|   4.52| 0.430
    88| 5.71|-48.80985919|   5.97| 0.911
    89| 7.87|+53.16694253|   2.60| 1.566
    90| 7.64|-41.88742972|   9.35| 0.500
    91| 7.66|-05.87433293|   4.21| 1.300
    92| 8.68|-20.70558648|   4.77| 0.944
    93| 8.12|-00.07592034|  16.74| 0.619
    94|10.10|-32.75680569|  10.48| 0.644
    95| 8.67|-11.96400015|   7.85| 0.513
    96|10.46|+13.97474826|  19.83| 1.360
    98| 9.87|-52.79857954|   6.49| 0.551
    97| 9.48|-21.40404527|   5.52| 0.530
    99| 7.04|+60.35529798|   1.27| 2.835
   100| 8.44|+19.74131648|   4.49| 0.898
   101| 9.88|-47.79382994|   7.35| 0.509
   102| 7.05|-41.48735570|   3.00| 1.550
   103| 8.29|-68.37102958|   9.15| 0.538
   104| 9.34|-31.89961642|   8.16| 0.543
   105| 7.73|+70.92895780|   4.44| 0.455
   106| 6.22|+49.98158501|   4.50| 0.970
   107| 5.53|-50.33739907|   5.84| 1.615
   108| 8.53|-70.12530771|   0.30| 1.315
   109| 7.23|+06.79149102|   5.33| 0.388
   110| 8.61|+39.61081788|  20.42| 0.787
   111|11.28|+34.28185977|  27.11| 1.308
   112|10.76|-16.94782618|  31.35| 1.384
   113| 8.93|+49.01041081|   0.27| 0.021
   114| 7.95|+30.73587929|   9.93| 0.654
   115| 7.46|-62.92315760|   4.73| 0.160
   116| 8.60|-33.79270439|   8.29| 0.435
   117| 8.55|-72.60590348|   0.36| 1.093
   118| 9.20|-09.43003605|  12.08| 0.606
   119| 6.82|+44.67544581|   7.49| 1.071
   120| 8.29|-45.34468907|   2.83| 1.183
   121| 6.83|+28.42377416|   3.66| 1.197
   122| 4.78|-77.06529438|  14.77| 1.254
   123| 7.21|+72.23660619|   5.07| 1.169
   124| 5.58|+61.22280406|   0.86| 0.407
   125| 8.70|-39.33667992|   5.08| 0.366
   126| 8.06|+14.63230674|   2.94| 0.969
   127|10.86|-48.93516169|  11.27| 0.942
   128| 6.50|+73.61187664|  15.20| 0.182
   129| 9.32|+05.37275092|   6.60| 0.559
   130| 9.14|-30.69250699|   2.93| 1.080
   131| 8.13|+62.01815066|   8.11| 0.200
   132|10.62|-34.65350786|   1.89| 0.358
   133| 6.62|-40.14866597|   3.51| 0.545
   134| 9.96|-01.13997217|   1.30| 0.264
   135| 8.64|-00.21749947|  20.10| 0.620
   136| 6.60|+24.25318080|   5.84| 1.153
   137| 6.25|+42.36714821|   2.45|-0.042
   138| 7.83|-16.53172119|   6.34| 1.074
   139|10.03|+67.50697620|   1.62| 1.289
   140| 9.04|-68.10481108|   8.98| 0.546
   141| 8.47|+36.35034560|   5.61| 1.350
   142| 7.33|+66.30600204|  16.04| 0.730
   144| 8.66|+76.17561121|   3.57| 1.364
   143|10.35|+21.46213750|  20.05| 1.033
   145| 5.13|-03.02747891|   7.98|-0.128
   146| 8.96|-25.79769516|   4.39| 0.306
   147| 8.49|+21.02624872|  -0.13| 1.569
   149|11.26|+26.00557721|  22.92| 0.932
   148| 8.15|+15.52852839|   4.22| 0.584
   150| 7.04|-37.22984397|   7.50| 1.060
   152|10.02|-28.13095543|   5.10| 0.456
   153| 8.90|+12.65495324|   5.54| 0.459
   151| 7.78|-41.61373674|   7.56| 0.411
   154| 4.37|-06.01397169|   7.86| 1.631
   155| 9.93|+46.26916275|   2.28| 0.283
   156| 8.60|+63.35784580|   3.09| 0.100
   157| 8.51|-05.21399723|   6.87| 0.903
   158| 7.09|-37.90179046|   7.03| 0.999
   159| 6.93|-02.76616306|  16.92| 0.292
   160| 8.68|-69.26920741|   2.07|-0.052
   161| 8.98|+33.69599071|   2.38| 1.500
   162| 9.84|+27.11861943|   2.71| 0.696
   163| 8.98|-30.68523468|   2.92| 0.107
   164| 7.98|+59.94001211|   4.41| 0.970
   165|10.16|-22.32747055|  -0.59| 0.450
   166| 8.86|-56.51490157|   9.46| 0.660
   167| 8.58|+39.18321360|   3.50| 0.060
   168| 9.56|-02.81984528|   1.95| 1.113
   169| 9.24|-68.28020594|  63.03| 1.390
   170| 9.63|-20.87164212|   5.96| 0.509
   171| 5.80|+27.08448905|  80.63| 0.690
   172| 9.05|+67.40895644|   1.27| 0.976
   173| 8.45|+47.57722222|   1.31| 0.248
   174| 8.86|+59.96533825|   3.89| 1.035
   175| 7.84|+49.77113897|   3.98| 0.923
   176| 8.86|+44.42827722|   3.82| 0.530
   177| 8.93|-11.96434717|   5.47| 0.172
   178| 7.97|-27.13517299|   9.02| 0.556
   179| 6.90|-13.40751554|  14.91| 0.534
   180| 8.47|-09.17489501|   2.80| 1.171
   181| 6.77|+60.70319460|   2.51| 1.832
   182| 8.55|+52.58643746|   3.32| 1.004
   183| 5.04|-29.72044805|   6.40|-0.150
   184| 8.48|+11.00634091|  29.75| 0.888
   185| 8.53|+10.78564387|  11.74| 0.530
   186| 6.33|+08.95683360|   7.55| 0.182
   187| 8.99|-06.05918213|   6.69| 0.500
   188| 8.64|+06.33313676|  10.49| 0.488
   189| 9.55|+54.13515756|   2.49| 0.237
   190| 8.74|+10.77665206|  10.47| 0.570
   191|12.43|-46.02884131|  22.98| 1.490
   192| 8.16|+08.39393024|   3.31| 1.032
   193| 9.46|-39.21249918|   4.77| 0.944
   194| 5.70|+08.48557854|  26.53| 0.315
   195| 7.62|+47.42295978|   8.08| 0.517
   196| 8.95|+51.82997958|   0.98| 1.677
   197| 8.97|+42.14779896|   1.62| 0.952
   198| 8.94|+15.33519012|   5.12| 0.276
   199| 7.24|+16.25655097|   4.07| 0.074
   200|10.32|-33.99267216|   3.17| 0.323
   201| 8.24|+18.68336438|  10.06| 0.474
   202| 8.62|+54.55216087|   2.60| 0.303
   203| 9.18|-15.83126945|   2.16| 0.981
   204| 8.53|-43.94791349|   2.53| 1.274
   205| 8.54|-05.18664439|   8.84| 0.384
   206| 8.56|+18.83599601|   9.32| 0.436
   208| 9.41|-67.63428107|   2.46| 0.967
   207| 5.87|+66.09896341|   1.57| 1.073
   209| 7.20|+66.10037725|  -0.69| 0.085
   210| 9.05|-08.48794379|   7.65| 0.470
   211| 9.52|-37.94768074|   3.88| 0.832
   212|10.24|-29.07525103|   6.18| 0.318
   213| 7.70|+51.47241278|   7.80| 1.003
   214| 8.17|+28.54222144|   3.36| 0.290
   217| 7.29|+82.97320953|   2.73| 0.118
   215| 9.26|+75.03619342|   3.49| 1.800
   216| 7.94|+42.92069156|   3.21| 0.016
   218| 8.42|-57.63363086|   4.14| 1.005
   219| 8.56|+06.03445242|  10.78| 0.602
   220| 7.52|+35.81547283|   6.27| 0.180
   221| 7.74|+80.28224146|   7.68| 0.483
   222| 8.85|-40.98317970|   2.62| 1.113
   224| 9.01|+03.86040514|   1.25| 1.010
   223| 7.17|+02.13037640|  21.58| 0.617
   225| 9.04|-15.04053128|   7.23| 0.489
   226|10.30|-24.94525463|   0.63| 0.254
   227| 9.86|+80.28651236|   8.72| 0.442
   228| 7.64|+28.25189113|   9.53| 0.532
   229| 8.27|+47.25228068|   2.16| 0.128
   230| 8.44|+30.33651580|   8.62| 0.423
   231| 9.58|-58.78139077|   4.59| 0.500
   232| 8.43|-30.14977973|   5.18| 0.007
   233| 8.49|+71.35854324|   2.50| 1.180
   234| 9.64|+70.23800778|   2.91| 0.310
   235| 9.17|+71.36804423|   2.60| 1.222
   236| 8.09|-00.89382979|   2.96| 1.260
   237| 9.00|-39.52732256|   6.32| 0.903
   238| 6.25|-20.04607402|  16.16| 0.526
   239| 8.56|+03.38193739|   4.77| 0.521
   240|10.81|+09.79522025|   3.36| 0.565
   241| 8.76|+09.13829706|   2.37| 1.010
   242| 7.76|-34.74405055|   7.41| 0.967
   243| 7.82|-60.69189462|   4.11| 1.041
   244| 7.90|+39.99515242|   3.49| 0.668
   245| 8.52|-07.81552594|   3.31| 1.036
   246| 9.73|+56.73318400|  18.29| 0.990
   247| 9.19|+08.26141340|   6.08| 0.346
   248| 8.10|+08.27080462|   9.03| 0.342
   249| 8.75|+31.87010321|  13.24| 0.552
   250| 8.14|+52.46516859|   5.19| 0.880
   251| 8.65|-25.26104885|  -0.53| 1.349
   252|10.30|+29.48598254|  -0.95| 1.082
   253| 6.46|-24.14513788|   6.78| 1.176
   254| 6.73|+42.74791705|   5.96| 0.051
   255| 7.96|-24.58828778|  11.84| 0.421
   256| 9.53|+54.51584355|   4.73| 0.461
   257| 8.87|-31.21239379|   3.15| 0.081
   258| 6.59|+17.55239698|   6.28| 1.122
   259| 8.65|+48.72233890|   0.54| 1.455
   260| 9.64|-55.40508846|   6.10| 0.432
   261| 9.15|-23.61534569|   8.21| 0.424
   262| 9.04|+32.84586959|   4.31| 0.422
   263|12.04|+04.68713578|  32.93| 1.473
   264| 8.42|+38.24401553|   3.69| 1.174
   266| 8.09|-11.94520986|   3.38| 1.125
   265| 9.06|-64.47608070|   1.06| 1.688
   267| 8.09|-04.14573041|  11.66| 0.455
   268| 8.18|+59.07861165|   0.24| 1.462
   269| 8.77|+23.57504990|   3.82| 1.125
   270| 7.36|+73.17449052|   4.70| 0.146
   271| 9.16|-35.96517367|   4.81| 0.232
   272| 8.82|-26.41518293|   1.39| 0.979
   273|11.14|-46.83096933|   1.86| 0.041
   274| 6.24|+63.64052431|   0.93| 0.332
   275| 9.44|-29.00061360|   5.68| 0.439
   276| 7.49|+20.66591788|  15.55| 0.636
   277| 6.96|-36.25120504|  15.84| 0.353
   278| 7.94|+55.55090206|   2.79|-0.023
   279| 8.69|+62.35780416|   0.81| 0.120
   280| 8.15|+53.31270092|   4.83| 0.134
   281| 8.45|+55.05995058|   2.88| 1.655
   282| 7.92|+19.38157170|   1.62| 1.408
   283| 7.45|+12.35682896|   4.99| 0.353
   284| 9.01|-65.82756660|   2.11| 0.956
   285| 8.55|-35.60222342|   1.38| 1.212
   286| 9.23|+78.71780714|   0.11| 1.006
   287| 9.16|-13.22726530|   1.19| 1.538
   288| 7.90|+42.35221969|   5.49| 1.071
   289| 8.68|-51.80908752|   3.48| 1.011
   290| 7.78|-31.09403248|  15.26| 0.563
   291| 8.21|-28.41713516|   1.46|-0.123
   292| 8.11|+70.30603307|   2.92|-0.019
   293| 8.29|-57.16443914|  13.14| 0.488
   294| 7.89|+03.90700467|   8.63| 0.401
   295| 9.67|-41.09585606|   2.83| 0.397
   296| 8.24|-28.39584776|  25.29| 0.780
   297| 6.80|+48.43692667|   6.42| 0.060
   298| 8.18|+13.36518977|   2.81| 1.015
   299| 8.44|-63.60066163|   9.67| 0.508
   301| 4.55|-17.33597002|  14.31|-0.047
   300| 7.45|+42.02349764|   6.04| 0.244
   302| 6.31|+66.71220273|   3.31| 1.629
   303| 8.15|+57.37827711|   5.15| 0.316
   304| 8.27|+22.29607151|   6.16| 0.136
   305| 7.66|-28.39376930|  20.44| 0.741
   306| 8.59|-57.83035720|  14.36| 0.616
   307|11.55|-42.55949968|  16.27| 1.260
   308| 7.09|+14.37891704|  13.90| 0.303
   309| 8.54|-45.28859728|   4.59| 0.230
   310| 9.58|-43.19150360|  12.24| 0.700
   311| 8.44|+36.97021204|   6.36| 0.456
   312| 8.59|+61.10364174|  -0.56| 0.360
   313| 8.01|-48.12518732|  10.62| 0.406
   314| 8.29|+20.95381941|   5.58| 0.540
   315| 9.62|-71.27863488|   6.67| 0.657
   316| 7.26|+12.14583388|   5.48| 0.355
   317| 7.91|-80.39507010|   5.53| 0.314
   318| 9.45|-38.59474913|   2.07| 1.115
   319| 8.19|+62.22195138|   1.20| 0.260
   320|12.14|-16.99764075|   6.48|
   321| 8.93|-25.89254967|   9.88| 0.607
   322| 7.65|+56.92100467|   3.93| 0.992
   324| 8.53|+17.43668381|   8.18| 0.491
   323| 7.38|+49.87020726|   6.15| 1.003
   325| 8.56|+39.12012608|  14.48| 0.615
   326| 8.76|+11.26438632|   0.82| 1.692
   327| 9.56|-04.92610737|   2.04| 0.390
   328| 7.09|-30.13491782|   4.24|-0.085
   329| 9.83|-10.14127928|   9.20| 0.699
   330| 5.90|+62.28766460|   0.89| 0.274
   331|10.80|-26.95235161|   1.88| 0.882
   332| 8.41|-34.41465369|   6.58| 0.563
   333| 9.05|-17.42485068|   5.54| 0.160
   334| 8.79|+60.15501928|   0.07| 0.080
   335| 8.88|+14.08162325|   5.57| 0.253
   336| 7.59|+65.15296110|   1.47| 1.680
   337| 9.60|-25.91498946|  11.87| 0.750
   338|10.66|+66.34913841|  -1.21| 1.450
   339| 8.55|-59.31518062|   4.12| 0.037
   340| 8.11|-43.98832631|  14.91| 0.484
   341| 9.44|-23.25395215|   0.58| 1.069
   342| 9.60|-20.56874520|   7.92| 0.549
   343| 5.78|-16.52888969|  11.29| 1.084
   344|10.66|+40.10995515|   6.82| 1.500
   345| 6.38|-29.26883006|   7.75| 0.006
   346| 8.80|-53.90948292|   5.27| 1.031
   347| 7.79|+54.27460172|   2.46|-0.089
   348| 8.60|+12.95705512|  16.79| 0.640
   349| 7.77|-29.38157885|   4.10|-0.058
   350|10.37|-57.32287483|  21.14| 1.100
   351| 9.80|-47.06812971|  22.52| 0.855
   352|10.42|+58.06878245|  12.99| 0.800
   353|11.63|-44.56734318|   5.72| 0.971
   354| 9.22|+51.82930460|   3.01| 1.001
   355| 4.99|-10.50949443|   2.03| 1.619
   356| 8.43|-06.96533727|   9.89| 0.611
   357| 7.33|-72.89722070|  10.92| 0.444
   358| 8.93|-76.34653399|   0.95| 1.025
   359| 9.09|-76.87353696|  17.09| 0.639
   360| 9.26|+71.96854252|   4.67| 1.162
   361| 8.73|-71.69499867|   3.40| 1.036
   362| 9.18|-19.43786312|  -0.43| 1.169
   363| 8.12|+43.55131855|   2.15| 2.530
   364| 9.26|-15.88920125|   1.99| 1.149
   366| 8.94|-31.16905083|   1.59| 1.181
   365| 6.11|+42.09256148|   1.94| 0.159
   367| 9.13|-81.34531911|   1.38| 0.239
   368| 7.90|+02.93722463|   4.83| 1.249
   369| 9.34|+29.72229656|   1.26| 0.950
   370| 7.13|-51.58336438|   2.46| 1.260
   371|10.82|-50.03593839|   0.81| 1.021
   372| 7.46|-70.40421693|   4.15| 1.072
   373| 8.72|-08.18490648|   1.39| 1.508
   374| 7.02|+34.26519797|   6.13| 1.100
   375| 9.08|+34.27150566|   6.13|
   376| 8.37|+06.52258527|   4.04| 0.881
   377| 5.59|-71.43685835|   5.70|-0.100
   378| 7.37|+14.96533616|  11.46| 0.422
   379| 5.68|+67.16638761|  10.30| 1.051
   380| 8.56|+17.06977988|   7.35| 0.792
   381| 8.72|+51.53385066|   2.46|-0.014
   382| 9.06|-32.36102308|   4.16| 0.368
   383| 8.82|+00.05649086|   4.08| 0.433
   384| 8.18|+01.53694172|   5.84| 0.376
   385| 9.39|+38.17382611|   9.37| 0.735
   386| 9.10|+68.18869710|  -0.59| 0.652
   387| 8.46|+38.78622411|   1.61| 0.556
   388| 9.15|+06.41668139|   5.46| 0.394
   389| 8.28|-29.63304603|   5.65| 0.002
   390|11.67|+50.23487696|   4.86|
   391| 8.18|+43.97079063|   6.95| 0.430
   392| 7.93|+30.08593131|  10.47| 0.478
   393| 9.21|+51.98257157|   3.05| 0.964
   394| 6.09|+34.65955259|  27.18| 0.632
   395| 8.31|-30.25661295|   3.15| 0.036
   396| 7.83|-31.99660262|   2.91| 1.256
   397| 8.72|+52.24894130|   3.73| 0.082
   398| 6.61|+58.53217392|   2.13| 0.025
   399| 6.25|+26.64879958|   5.34| 1.368
   400| 7.82|+23.26964739|  39.06| 0.755
   401| 8.66|+56.05695930|   3.49| 1.614
   402| 8.15|+64.78140759|   6.02| 0.475
   403| 8.97|-18.17850304|  11.56| 0.674
   405| 8.15|+51.18064908|   1.55| 1.201
   404| 7.47|+45.67395209|  14.53| 0.550
   406| 8.63|+26.72525618|   1.67| 1.570
   407| 8.13|-70.21220744|  22.09| 0.710
   408| 8.23|+57.46874679|   4.41| 0.986
   409| 8.41|-70.49241628|   8.49| 0.461
   410| 6.47|+27.67479979|   7.63| 0.946
   411| 9.83|+33.36001239|  -0.99| 1.540
   412| 8.64|+66.51678960|   6.19| 1.300
   413| 7.73|-36.01527326|  19.78| 0.537
   414| 8.64|-59.82810463|   1.96| 0.889
   415| 8.94|+09.28002796|   8.38| 0.415
   416| 8.84|+01.03782858|   8.73| 0.759
   417| 6.32|-00.50290553|   6.95| 1.099
   418| 5.80|+61.31396468|   4.50|-0.067
   419| 8.97|-42.56781669|   5.12| 0.860
   420| 7.53|-52.15142338|  23.90| 0.577
   421| 8.83|            |       |
   422| 7.41|+67.84002075|   2.53| 1.288
   423| 7.80|+30.32911509|   5.43| 0.437
   425| 8.14|-62.84527102|  14.25| 0.593
   424| 6.71|+45.22907883|   6.66| 0.068
   427| 8.73|-43.85083352|   1.42| 1.124
   426| 9.37|+30.33130736|   6.64| 0.510
   429| 8.69|+02.39731072|  11.12| 0.644
   428| 9.95|+45.78693438|  86.98| 1.472
   430| 7.10|-32.46851165|   6.27| 1.128
   431| 8.09|+36.30368114|   2.45| 0.496
   432| 6.88|+35.57110311|  10.35| 0.174
   433| 9.48|+03.00739806|  -0.08| 1.037
   434| 9.04|-27.27160831|   1.40| 0.692
   435| 9.30|-49.14221463|  10.28| 0.538
   436| 8.49|-67.83122670|  62.48| 1.076
   437| 8.30|+48.47719511|   3.18| 0.998
   438| 7.95|-01.79412136|   2.21| 0.991
   440| 7.08|+68.88440910|   5.31|-0.006
   441| 6.93|-38.85723115|   4.29| 0.940
   442| 8.38|-21.31530277|   4.33|-0.060
   443| 4.61|-05.70783255|  25.38| 1.029
   703|11.01|-86.18850470|  -2.92| 1.500
   439| 8.56|-37.35168110| 229.33| 1.462
   444| 8.78|-59.81448691|   1.29| 1.156
   445| 7.42|-56.95562054|   9.55| 0.191
   447| 8.26|+08.78795370|   1.69| 1.052
   446| 7.71|-79.25391278|   5.05| 1.093
   448| 6.91|+03.60610712|   6.75| 1.120
   449| 9.16|-33.49941419|   9.89| 0.782
   450| 8.99|+28.54375172|   3.30| 1.199
   451| 8.63|+16.32907717|   4.55| 0.460
   452| 9.90|+21.56940242|   2.61| 0.599
   453| 7.59|-03.85159559|   4.65| 1.045
   454| 7.39|-14.42209198|   4.76| 0.990
   455|11.99|+76.29156292|   6.35|
   456| 7.78|-37.30254152|   4.79| 1.123
   457| 7.47|-42.88738421|   2.01| 1.620
   458| 6.97|-07.66532823|   3.07| 1.444
   459| 8.82|-61.22566452|  18.57| 0.666
   460| 9.13|+22.22467477|  22.20| 0.735
   461| 7.86|+34.10565584|  11.04| 0.494
   462| 7.13|-09.61729691|  19.81| 0.446
   463| 9.45|-35.12972759|  -1.03| 0.995
   464|12.04|-31.96763926|   0.75| 0.501
   465| 8.78|+76.28582649|   3.94| 1.249
   466| 7.23|+53.17169568|   3.52| 1.174
   467| 9.73|-47.56931860|   6.89| 0.725
   468| 7.36|-61.30989474|   4.25| 0.993
  1902| 8.88|            |       |
   469| 7.36|-51.26045604|   2.30| 1.444
   470| 8.47|+43.40143611|   0.47|-0.180
   471| 9.37|-58.28951949|   2.52| 1.537
   472| 6.99|+55.70990230|   4.25| 1.187
